KEY_CODE,HYOSYO,CITYNAME,NAME,人口総数,男,女,世帯総数
123420060,2,神崎町,並木,244,132,112,93
123420070,2,神崎町,今,87,46,41,30
123420080,2,神崎町,高谷,56,23,33,20
123420090,2,神崎町,武田,191,104,87,78
123420100,2,神崎町,新,88,47,41,22
123420110,2,神崎町,毛成,183,85,98,57
123420120,2,神崎町,古原,346,189,157,139
123420130,2,神崎町,植房,161,83,78,62
123420140,2,神崎町,立野,56,32,24,18
123420150,2,神崎町,大貫,197,107,90,87
123420160,2,神崎町,郡,796,425,371,345
123420170,2,神崎町,成城台,373,184,189,159
123420180,2,神崎町,四季の丘,1016,494,522,421
12347,1,多古町,,13735,6941,6794,5079
123470010,3,多古町,多古,2613,1288,1325,956
12347001001,4,多古町,多古大原内,90,46,44,34
12347001002,4,多古町,多古新町,101,46,55,38
12347001003,4,多古町,多古堀之尻,260,128,132,107
12347001004,4,多古町,多古仲町,76,37,39,28
12347001005,4,多古町,多古本町,156,79,77,60
12347001006,4,多古町,多古高根,458,224,234,168
12347001007,4,多古町,多古飯新,133,61,72,49
12347001008,4,多古町,多古田町,309,168,141,148
12347001009,4,多古町,多古高野前,156,72,84,59
12347001010,4,多古町,多古居射,167,79,88,50
12347001011,4,多古町,多古豊田,45,21,24,23
12347001012,4,多古町,多古切通,125,55,70,42
12347001013,4,多古町,多古広沼,99,55,44,29
12347001014,4,多古町,多古多古台,438,217,221,121
123470140,2,多古町,島,319,158,161,102
123470150,2,多古町,水戸,380,232,148,183
123470160,2,多古町,五反田,194,99,95,62
123470170,2,多古町,喜多,431,210,221,148
123470180,2,多古町,染井,531,266,265,196
123470190,2,多古町,飯笹,974,505,469,413
123470200,2,多古町,間倉,295,156,139,137
123470220,2,多古町,一鍬田,149,75,74,59
123470230,2,多古町,船越,500,245,255,162
123470240,2,多古町,牛尾,267,140,127,94
123470250,2,多古町,次浦,258,131,127,98
123470260,2,多古町,西古内,146,70,76,51
123470270,2,多古町,御所台,102,48,54,37
123470280,2,多古町,井戸山,194,96,98,78
123470290,2,多古町,高津原,354,180,174,131
123470300,2,多古町,大高,390,192,198,150
123470301,2,多古町,大門,178,96,82,69
123470310,2,多古町,檜木,95,52,43,41
123470320,2,多古町,出沼,196,103,93,91
123470330,2,多古町,本三倉,184,92,92,67
123470340,2,多古町,谷三倉,139,66,73,48
123470350,2,多古町,十余三,919,459,460,361
123470370,2,多古町,川島,102,53,49,38
123470380,2,多古町,東松崎,452,226,226,167
123470400,2,多古町,坂,206,96,110,71
123470410,2,多古町,方田,126,59,67,47
123470420,2,多古町,南玉造,778,358,420,228
123470440,2,多古町,南中,824,418,406,312
123470460,2,多古町,北中,1019,560,459,333
123470470,2,多古町,南和田,44,22,22,15
123470480,2,多古町,南借当,116,61,55,34
123470490,2,多古町,中村新田,260,129,131,100
12349,1,東庄町,,13228,6575,6653,4611
123490010,2,東庄町,大久保,191,100,91,68
123490020,2,東庄町,舟戸,183,97,86,48
123490030,2,東庄町,東和田,121,65,56,41
123490040,2,東庄町,神田,87,45,42,26
123490050,2,東庄町,小貝野,117,60,57,46
123490060,2,東庄町,窪野谷,184,94,90,65
123490070,2,東庄町,平山,380,209,171,95
123490080,2,東庄町,高部,160,75,85,50
123490090,2,東庄町,大友,69,34,35,21
123490100,2,東庄町,笹川い,3835,1843,1992,1361
123490110,2,東庄町,笹川ろ,1425,707,718,538
123490120,2,東庄町,新宿,1081,536,545,382
123490130,2,東庄町,石出,697,326,371,259
123490140,2,東庄町,東今泉,623,301,322,217
123490150,2,東庄町,宮本,231,119,112,81
123490160,2,東庄町,青馬,449,223,226,142
123490170,2,東庄町,今郡,150,81,69,46
123490180,2,東庄町,谷津,78,41,37,28
123490190,2,東庄町,羽計,1122,526,596,399
123490200,2,東庄町,夏目,640,337,303,188
123490210,2,東庄町,八重穂,46,21,25,13
123490220,2,東庄町,小南,677,340,337,228
123490230,2,東庄町,粟野,266,144,122,87
123490240,2,東庄町,小座,202,116,86,81
123490250,2,東庄町,宮野台,42,41,1,40
123490260,2,東庄町,笹川い,11,8,3,11
123490270,2,東庄町,神田,49,25,24,17
123490280,2,東庄町,窪野谷,57,32,25,19
123490290,2,東庄町,窪野谷,55,29,26,14
12403,1,九十九里町,,14639,7203,7436,6181
124030010,2,九十九里町,真亀,1544,748,796,665
124030050,2,九十九里町,不動堂,774,382,392,312
124030070,2,九十九里町,西野,1533,772,761,678
124030090,2,九十九里町,下貝塚,327,160,167,126
124030110,2,九十九里町,藤下,320,158,162,133
124030130,2,九十九里町,細屋敷,195,95,100,84
124030150,2,九十九里町,粟生,1224,592,632,481
124030180,2,九十九里町,宿,144,71,73,60
124030190,2,九十九里町,片貝,4960,2442,2518,2078
124030330,2,九十九里町,田中荒生,829,401,428,382
124030340,2,九十九里町,小関,1091,534,557,466
124030370,2,九十九里町,作田,1616,807,809,682
124030390,2,九十九里町,真亀新田,82,41,41,34
12409,1,芝山町,,7033,3474,3559,2513
124090010,2,芝山町,小池,1038,512,526,386
124090020,2,芝山町,芝山,16,10,6,5
124090030,2,芝山町,山中,392,164,228,78
124090040,2,芝山町,高谷,70,38,32,26
124090050,2,芝山町,殿部田,113,59,54,39
124090060,2,芝山町,境,78,35,43,25
124090070,2,芝山町,下吹入,72,35,37,24
124090080,2,芝山町,上吹入,73,43,30,20
124090090,2,芝山町,大台,329,173,156,114
124090100,2,芝山町,高田,439,220,219,146
124090110,2,芝山町,新井田,1611,800,811,629
124090120,2,芝山町,新井田新田,217,102,115,86
124090130,2,芝山町,牧野,172,95,77,67
124090140,2,芝山町,宝馬,196,101,95,66
124090150,2,芝山町,菱田,406,197,209,137
124090160,2,芝山町,大里,624,302,322,242
124090170,2,芝山町,飯櫃,68,35,33,25
124090180,2,芝山町,小原子,137,71,66,46
124090190,2,芝山町,山田,158,82,76,60
124090200,2,芝山町,岩山,763,367,396,268
124090210,2,芝山町,朝倉,47,26,21,18
124090220,2,芝山町,香山新田,1,1,-,1
124090230,2,芝山町,宮崎,13,6,7,5
12410,1,横芝光町,,22075,10767,11308,8274
124100010,2,横芝光町,篠本,647,320,327,214
124100020,2,横芝光町,新井,222,103,119,74
124100030,2,横芝光町,宝米,272,131,141,77
124100040,2,横芝光町,二又,166,81,85,48
124100050,2,横芝光町,小川台,184,96,88,51
124100060,2,横芝光町,台,94,54,40,29
124100070,2,横芝光町,傍示戸,125,51,74,42
124100080,2,横芝光町,富下,94,51,43,30
124100090,2,横芝光町,虫生,74,32,42,23
124100100,2,横芝光町,小田部,247,128,119,104
124100110,2,横芝光町,母子,147,72,75,54
124100120,2,横芝光町,芝崎,276,123,153,98
124100130,2,横芝光町,宮川,3830,1880,1950,1481
124100140,2,横芝光町,谷中,325,169,156,115
124100150,2,横芝光町,目篠,475,210,265,159
124100160,2,横芝光町,原方,168,85,83,65
124100170,2,横芝光町,木戸,1796,882,914,650
124100180,2,横芝光町,尾垂,604,295,309,234
124100190,2,横芝光町,木戸台,65,33,32,20
124100200,2,横芝光町,木戸台,146,84,62,56
124100210,2,横芝光町,小堤,101,52,49,32
124100220,2,横芝光町,寺方,134,49,85,28
124100230,2,横芝光町,曽根合,50,24,26,17
124100240,2,横芝光町,於幾,115,57,58,43
124100250,2,横芝光町,坂田,172,85,87,63
124100260,2,横芝光町,取立,31,17,14,13
124100270,2,横芝光町,長倉,199,93,106,60
124100280,2,横芝光町,姥山,74,38,36,25
124100290,2,横芝光町,遠山,125,70,55,58
124100300,2,横芝光町,中台,238,122,116,70
124100310,2,横芝光町,牛熊,116,58,58,41
124100320,2,横芝光町,谷台,85,45,40,33
124100330,2,横芝光町,横芝,55,22,33,22
124100340,2,横芝光町,横芝,67,33,34,30
124100350,2,横芝光町,横芝,131,57,74,52
124100360,2,横芝光町,横芝,369,163,206,115
124100370,2,横芝光町,横芝,227,108,119,87
124100380,2,横芝光町,横芝,82,40,42,31
124100390,2,横芝光町,横芝,117,59,58,45
124100400,2,横芝光町,横芝,128,66,62,55
124100410,2,横芝光町,古川,431,211,220,198
124100420,2,横芝光町,両国新田,108,44,64,33
124100430,2,横芝光町,横芝,279,135,144,126
124100440,2,横芝光町,横芝,209,98,111,86
124100450,2,横芝光町,横芝,268,131,137,115
124100460,2,横芝光町,横芝,57,29,28,21
124100470,2,横芝光町,栗山,118,50,68,43
124100480,2,横芝光町,栗山,60,30,30,26
124100490,2,横芝光町,栗山,212,102,110,77
124100500,2,横芝光町,栗山,138,64,74,47
124100510,2,横芝光町,栗山,509,220,289,165
124100520,2,横芝光町,栗山,93,46,47,34
124100530,2,横芝光町,栗山,113,57,56,53
124100540,2,横芝光町,栗山,151,80,71,79
124100550,2,横芝光町,栗山,62,31,31,24
124100560,2,横芝光町,栗山,321,170,151,121
124100570,2,横芝光町,栗山,157,77,80,55
